,,Product Code,Private Hospi Alex,Private Hospi Cairo,Private Hospi Del2,Private Hospi Giza,Private Hospi Upper,Key Accounts W Cairo,Key Accounts W Giza,ك.عملاء اسكندرية 1,ك.عملاء اسكندرية2,ك.عملاء مطروح واسكن3,ك.عملاء  البحيرة 1,ك.عملاء البحيرة 2,ك.عملاء شرق القاهرة1,ك.عملاء القناة,ك.عملاء وسط البلد,October K.Acc,ك.عملاء فبصل والهرم,ك.عملاء امبابة,Helwan K.Acc,ك.عملاء شرق القاهرة2,ك.ع.م.نصر وهليوبليس,ك.عملاء المنوفية, ك.عملاء الغربية 1,ك.عملاء كفر الشيخ,ك.عملاء الدقهلية 1,ك.ع.الدقهلية2 ودمياط,ك.عملاء الشرقية,ك.عملاء القليوبية, ك.عملاء الغربية 2,ك.عملاء اسيوط,ك.عملاء اسوان,ك.ع.بنى سويف والفيوم,ك.عملاء المنيا,ك.عملاء قنا,ك.عملاء سوهاج,ك.عملاء سوهاج وقنا,ك.ع.المنيا واسيوط,ك.ع.الاقصر والغردقة,Retail  Al-Falaky,Retail Al-Qabary,Retail Nasria,Retail Damanhour 2,Retail Damanhour 3,Retail Mina Al-Basal,Retail Miami,Retail Al-Qabary 2,Retail Almaza 1,Retail Nasr Al-Deen,Retail Imbaba,Retail October,Retail Al-Fayoum,Retail SUEZ,Retail Al-Matarya,Retail Almaza 2,Retail Ein Shams 1,Retail Mostorod,Retail Road Al-Farag,Retail Ein Shams 2,Re Khatem Morsalin,Retail Helwan,Retail Helwan 2,Retail Damanhour,Retail Tanta,Retail Al-Mahala 2,Retail Kafr Al-Zayat,Retail Mansora,Retail Mansora 2,Retail Dekernes,Retail Domiat,Retail Shebin,Retail Al-Zagazik,Retail Fakous,Retail Banha 1,Retail Banha 2,Retail Berka Sabe,Retail Al-Mahala,Retail Tanta 2,RETAIL Monof,Retail Kafr AlZayat2,Retail Al-Zagazik 2,Retail Port-Said,Retail Bani Sueaf,Retail Al-Menia 2,Retail Mallawi,Retail Assuit 3,Retail Assuit 2,Retail El- Kwamel,Retail Sohag,Retail Qena,Retail EL-Balina,Retail Luxor,Retail Aswan,Retail Al-Menia,Retail Hurghada,Retail Ngaa Hammadi,Super KA Alex,Super KA Cairo,Super KA Delta,Super KA Giza,Super KA Canal,Key Acc. W Shebien,Key Acc. W Bani Suwa,Key Acc. W Qabary,Key Acc. W Kafr Elza,Key Acc. W Zakazik,Key Acc. W Menya,Key Acc. W Assiut,Key Acc. W Sohag,Key Acc. W Luxor,Super KA. W Giza,Super KA. W Delta1,Super KA. W Delta2,Super KA. W Delta3,Total,Total Bonus
,,,"2,273.76","29,685.20",,"13,389.92",,,,"6,947.60","1,642.16","1,263.20","3,158.00","1,768.48","9,600.32","9,095.04","18,695.36","31,201.04","5,558.08","17,305.84","3,410.64","12,884.64","21,727.04","2,273.76",378.96,505.28,252.64,"2,400.08","8,337.12","1,894.80",505.28,"2,652.72","2,021.12","4,168.56",757.92,"1,894.80","2,652.72","2,021.12","2,147.44","7,326.56",505.28,505.28,378.96,252.64,378.96,"1,136.88",378.96,378.96,"1,389.52","2,526.40","5,305.44","4,547.52",252.64,"2,400.08","1,894.80","8,968.72","2,147.44","2,147.44","1,136.88","3,158.00","8,842.40",505.28,"2,147.44","1,136.88",631.60,378.96,126.32,631.60,252.64,"1,389.52","2,273.76","28,674.64","1,389.52","1,389.52","1,894.80","1,515.84",631.60,,,757.92,631.60,"1,136.88",505.28,631.60,126.32,"1,010.56",,"7,958.16",126.32,126.32,378.96,252.64,378.96,252.64,126.32,"1,263.20","1,894.80","6,063.36","9,852.96","2,905.36","670,127.60","18,316.40","63,160.00",,,"22,737.60",,,,"31,580.00",,,,,,"1,167,702.08",
,سانسو دى 3 نقط 15 مل,47044,50,50,,2,,,,10,8,13,,1,6,,,2,,,9,6,2,4,1,1,,,3,4,4,,,1,24,2,,21,7,1,2,,40,,,3,,,4,,,,1,,,3,1,1,,5,2,,6,3,,,,,,,,3,,,,,102,,2,1,1,,,2,3,1,,2,,,5,,,,7,0,3,11,5,,2,1,,,,,100,,,,,,,,,554,73
,,,"1,964.90","1,964.90",,78.60,,,,392.98,314.38,510.87,,39.30,235.79,,,78.60,,,353.68,235.79,78.60,157.19,39.30,39.30,,,117.89,157.19,157.19,,,39.30,"1,139.64",78.60,,"1,021.75",275.09,39.30,78.60,,"2,043.50",,,117.89,,,157.19,,,,39.30,,,117.89,39.30,39.30,,196.49,78.60,,235.79,117.89,,,,,,,,117.89,,,,,"4,008.40",,78.60,39.30,39.30,,,78.60,117.89,39.30,,78.60,,,196.49,,,,275.09,0.00,117.89,471.58,196.49,,78.60,39.30,,,,,"5,894.70",,,,,,,,,"24,639.85",
,سانسو دى 3 نقط 60 مل,33721,,,,,,,,,3,2,,,2,10,1,,,2,1,8,,6,,,,,2,1,,,,2,1,1,,1,1,,5,1,3,,,2,,,1,2,,5,,,,9,1,1,,,4,,5,,,,0,7,,,-1,1,,,,1,6,1,,1,,,,-2,1,1,,,,,,,,,1,,,20,60,4,15,5,,,1,,,,,,,,,,,205,4
,,,,,,,,,,,252.63,168.42,,,168.42,"1,010.53",84.21,,,168.42,84.21,673.69,,505.27,,,,,168.42,84.21,,,,168.42,84.21,84.21,,84.21,84.21,,421.06,84.21,252.63,,,168.42,,,84.21,168.42,,421.06,,,,757.90,84.21,84.21,,,336.84,,421.06,,,,0.00,589.48,,,-84.21,84.21,,,,84.21,505.27,84.21,,84.21,,,,-168.42,84.21,84.21,,,,,,,,,84.21,,,"1,852.64","5,052.66",336.84,"1,263.17",421.06,,,84.21,,,,,,,,,,,"17,600.10",
,سانسو زنك 25 مجم 30 كبسولة,52686,,1,,3,,,,8,1,3,18,7,17,298,49,238,30,33,56,35,68,4,2,,2,36,11,7,3,7,19,15,11,3,,7,6,54,7,,16,1,2,5,25,,7,13,6,45,2,88,1,142,5,4,2,13,24,11,5,7,2,,,,8,,3,1,,5,7,3,1,4,5,1,,,6,,1,5,3,,,3,,,,,2,,,100,17,87,139,264,,,,,,,,,,,,,,"2,150",144
,,,,77.19,,231.57,,,,617.52,77.19,231.57,"1,466.61",540.33,"1,389.42","24,546.42","4,013.88","19,143.12","2,392.89","2,624.46","4,554.21","2,856.03","5,634.87",308.76,154.38,,154.38,"3,010.41",926.28,540.33,231.57,540.33,"1,543.80","1,235.04",926.28,231.57,,540.33,463.14,"4,399.83",540.33,,"1,389.42",77.19,154.38,385.95,"1,929.75",,540.33,"1,080.66",463.14,"3,473.55",154.38,"6,947.10",77.19,"11,115.36",385.95,308.76,154.38,"1,003.47","1,852.56",926.28,385.95,540.33,154.38,,,,617.52,,231.57,77.19,,385.95,540.33,231.57,77.19,308.76,385.95,77.19,,,463.14,,77.19,385.95,231.57,,,231.57,,,,,154.38,,,"9,648.75","1,312.23","7,641.81","11,887.26","22,462.29",,,,,,,,,,,,,,"177,073.86",
,سانسو زنك 50 مجم 30 كبسولة,27521,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,0
,,,,,,,,,,,,,,77.19,,,,,,,,,,,,,,,,,,,,154.39,77.19,,77.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,385.97,
,سانسو زيم 30 قرص,46795,,100,,,,,,1,4,,2,3,3,6,24,21,12,7,13,4,24,,,4,,,11,1,,13,,,2,,3,7,7,,3,,71,2,,3,,1,2,10,3,6,,1,,7,4,5,10,2,12,,6,,,,,,,,,,,,4,2,,,,0,1,,,1,1,36,1,41,7,1,1,,,,3,,,13,44,,136,10,,,,,,,,,,,,,,722,153
,,,,"26,526.36",,,,,,189.47,757.90,,378.95,568.42,568.42,"1,136.84","5,115.80","4,168.43","2,273.69","1,515.79","2,652.64",757.90,"5,115.80",,,757.90,,,"2,273.69",189.47,,"2,463.16",,,378.95,,568.42,"1,515.79","1,515.79",,568.42,,"18,757.93",378.95,,568.42,,189.47,378.95,"1,894.74",568.42,"1,136.84",,189.47,,"1,515.79",757.90,947.37,"2,084.21",378.95,"2,463.16",,"1,136.84",,,,,,,,,,,,757.90,378.95,,,,0.00,189.47,,,189.47,189.47,"9,094.75",189.47,"10,042.12","1,326.32",189.47,189.47,,,,568.42,,,"3,031.58","9,663.17",,"32,210.58","2,273.69",,,,,,,,,,,,,,"165,789.75",
,سانسو سى بلس 14 قرص,28492,1,,,40,62,,,9,6,47,4,6,4,11,5,14,10,30,3,,35,1,,2,,16,5,,2,9,27,12,7,2,12,11,25,71,1,5,3,1,1,2,1,3,,1,,4,,1,,19,1,,,,,,6,,1,,,1,,3,5,5,,1,2,2,,,,0,1,,,5,,6,7,5,14,6,,,-1,6,,9,6,208,28,5,246,111,,,,,,,,100,,,,,,"1,320",203
,,,66.67,,,"3,333.35","4,933.36",,,600.00,400.00,"3,933.35",266.67,400.00,266.67,733.34,333.34,"1,133.34",733.34,"2,533.35",200.00,,"2,800.01",66.67,,133.33,,"1,066.67",400.00,,133.33,666.67,"1,933.34",866.67,533.34,133.33,866.67,800.00,"1,800.01","5,133.36",66.67,400.00,200.00,66.67,66.67,133.33,66.67,200.00,,66.67,,266.67,,66.67,,"1,333.34",66.67,,,,,,466.67,,66.67,,,66.67,,200.00,333.34,333.34,,66.67,133.33,133.33,,,,0.00,66.67,,,400.00,,466.67,466.67,333.34,"1,066.67",466.67,,,-66.67,466.67,,666.67,400.00,"16,533.42","2,333.35",333.34,"19,733.43","9,200.05",,,,,,,,"6,666.70",,,,,,"101,533.84",
,سانسو سى بلس 28 قرص,28493,,3,10,20,,,10,6,2,5,1,3,12,40,6,16,4,9,1,37,21,,3,,,5,1,,,4,8,3,1,,2,,20,12,1,1,4,,1,3,1,1,3,1,,3,,21,,,,,15,4,,,1,,,,,1,,0,4,,,,,,,1,,,,2,,1,1,1,4,,1,,1,,1,,,4,,,12,6,52,45,,,,,,,,,,,,,,462,60
,,,,400.00,"1,733.33","2,666.66",,,"1,333.33",800.00,266.67,666.67,133.33,400.00,"2,000.00","6,933.32",800.00,"2,133.33",533.33,"1,200.00",133.33,"5,733.32","3,199.99",,400.00,,,666.67,133.33,,,533.33,"1,066.66",400.00,133.33,,266.67,,"3,066.66","2,000.00",133.33,133.33,533.33,,133.33,400.00,133.33,133.33,400.00,133.33,,400.00,,"3,199.99",,,,,"2,399.99",533.33,,,133.33,,,,,133.33,,0.00,533.33,,,,,,,133.33,,,,266.67,,133.33,133.33,133.33,533.33,,133.33,,133.33,,133.33,,,533.33,,,"1,600.00",800.00,"8,133.31","7,599.98",,,,,,,,,,,,,,"69,599.83",
,سانسو فوليك 800 مكجم 28 قرص,32482,,10,,,,,,6,-11,,,7,2,2,,4,,,,4,3,,,,,4,,,-1,7,1,-32,1,,1,5,32,,,2,3,,,,,2,,,,13,1,1,,3,2,,,,1,,3,,1,,,1,,1,1,,,,1,,,,0,,,,,7,1,5,1,,1,1,,,,,2,,,14,4,79,35,-3,,,,,,,,,,,,,,228,32
,,,,771.93,,,,,,463.16,-694.74,,,540.35,154.39,154.39,,308.77,,,,308.77,231.58,,,,,308.77,,,-77.19,540.35,77.19,"-2,470.18",77.19,,77.19,385.97,"2,470.18",,,154.39,231.58,,,,,154.39,,,,"1,003.51",77.19,77.19,,231.58,154.39,,,,77.19,,231.58,,77.19,,,77.19,,77.19,77.19,,,,77.19,,,,0.00,,,,,540.35,77.19,385.97,77.19,,77.19,77.19,,,,,154.39,,,"1,080.70",308.77,"8,414.04","2,701.76",-231.58,,,,,,,,,,,,,,"20,070.18",
,سانسو كال دى 28 قرص 4 شرائط,34486,,,,,,,,2,-23,4,,2,,,9,,1,1,,,2,,,2,,1,,,,,,-2,,,,2,1,,1,,1,,2,,,1,,,,,,,,1,1,,,,6,,6,2,0,,,,,,1,1,,,,,,,,,3,,,1,,,,,,,1,,,1,,,,21,,95,5,-4,,,144,,,,,,,,,,,292,42
,,,,,,,,,,252.63,"-2,400.00",505.26,,252.63,,,"1,136.84",,126.32,126.32,,,252.63,,,252.63,,126.32,,,,,,0.00,,,,252.63,126.32,,126.32,,126.32,,252.63,,,126.32,,,,,,,,126.32,126.32,,,,"1,010.53",,"1,010.53",252.63,0.00,,,,,,126.32,126.32,,,,,,,,,378.95,,,126.32,,,,,,,126.32,,,126.32,,,,"2,905.27",,"15,789.50",631.58,-505.26,,,"18,189.50",,,,,,,,,,,"42,189.54",
,سانسو كال دى 30 قرص,26838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.74,,,,,,,,,,,,,,,,294.74,
,سانسو كود 140 مل,48442,,1,,,,,400,11,4,22,21,10,0,,7,4,6,28,4,2,,3,1,,13,12,3,,1,8,11,105,8,3,1,10,30,3,,,4,9,4,11,2,,1,1,-1,2,5,,,,1,,3,1,9,,5,4,,,5,,1,7,5,2,,,,5,4,,21,1,1,1,1,25,6,8,,1,3,4,,3,,,4,2,2,108,12,82,39,4,,,,,,10,,,,,,,,"1,160",218
,,,,92.11,,,,,"51,581.60","1,013.21",368.44,"2,026.42","2,118.53",921.10,0.00,,644.77,368.44,552.66,"2,947.52",368.44,184.22,,276.33,92.11,,"1,381.65","1,105.32",276.33,,92.11,736.88,"1,013.21","9,671.55",736.88,276.33,92.11,921.10,"3,131.74",276.33,,,368.44,828.99,368.44,"1,013.21",184.22,,92.11,92.11,-92.11,184.22,460.55,,,,92.11,,276.33,92.11,828.99,,460.55,368.44,,,552.66,,92.11,644.77,460.55,184.22,,,,460.55,368.44,,"2,486.97",92.11,92.11,92.11,92.11,"2,671.19",552.66,736.88,,92.11,276.33,368.44,,276.33,,,368.44,184.22,184.22,"11,790.08","1,105.32","8,197.79","4,144.95",368.44,,,,,,"1,105.32",,,,,,,,"126,927.58",
,سانسو كولاجين فيت حمضيات 315 مل شراب,30648,,,,,,,,,,,,,,1,2,3,4,,,2,,,,,2,,,,,0,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,32,6,6,30,,,,,,,,,5,,,,,,101,27
,,,,,,,,,,,,,,,,687.72,"1,375.44","2,063.16","4,126.31",,,"1,375.44",,,,,"1,375.44",,,,,0.00,,,,,,,,,,,,,,,,,687.72,"1,375.44",687.72,,,,,,,,687.72,,687.72,,,,,,,,,,,,,687.72,,687.72,,,,,,,,,,,,,,,,,,,,,,"32,322.79","4,814.03","4,814.03","24,757.88",,,,,,,,,"4,814.03",,,,,,"88,028.03",
,سانسو كير كريم سترتش مارك 100 جرام,25710,,,,,,,,4,,3,,3,,,1,,,1,,1,1,,,,,0,,3,,,3,,1,,,,,,0,,0,1,0,,,,,,,,,,,,,,2,,-1,,,2,,,,,,1,2,,,,1,,1,0,,,,,,,0,1,,,,1,,,,,,,,3,0,50,2,3,,,,,,,,,,,,,,90,50
,,,,,,,,,,280.70,,210.53,,210.53,,,70.18,,,70.18,,70.18,70.18,,,,,0.00,,210.53,,,210.53,,70.18,,,,,,0.00,,0.00,70.18,0.00,,,,,,,,,,,,,,140.35,,-70.18,,,140.35,,,,,,70.18,140.35,,,,70.18,,70.18,0.00,,,,,,,0.00,70.18,,,,70.18,,,,,,,,210.53,0.00,"7,017.50",140.35,210.53,,,,,,,,,,,,,,"9,824.50",
,سانسو ماغنسيوم 28 قرص,39016,1,3,,11,,,,27,27,42,-13,19,20,41,25,103,97,118,16,34,78,4,5,,7,59,-4,7,4,22,3,8,4,,5,4,5,11,7,2,18,5,4,14,26,0,19,51,30,28,2,41,9,46,30,23,42,15,75,3,9,12,1,,6,4,1,10,12,5,,9,8,18,,,3,,6,,12,21,,3,2,2,,2,2,1,1,,13,2,,158,57,102,149,55,,,36,,,,20,,,,,1,,"2,026",104
,,,140.35,421.05,,"1,964.91",,,,"3,789.48","3,789.48","6,315.80","-1,824.56","2,666.67","2,807.02","6,456.15","3,508.78","14,877.21","14,456.15","18,385.98","2,245.62","4,771.93","11,368.43",561.40,701.76,,982.46,"9,122.82",-561.40,982.46,561.40,"3,087.72",421.05,"1,122.81",561.40,,701.76,561.40,701.76,"1,543.86",982.46,280.70,"2,526.32",701.76,561.40,"1,964.91","3,649.13",0.00,"2,666.67","7,578.95","4,210.53","3,929.83",280.70,"5,754.39","1,263.16","6,877.20","4,210.53","3,368.42","6,315.80","2,105.27","11,368.43",421.05,"1,263.16","1,684.21",140.35,,842.11,561.40,140.35,"1,403.51","1,684.21",701.76,,"1,263.16","1,122.81","2,526.32",,,421.05,,842.11,,"1,684.21","3,368.42",,421.05,280.70,280.70,,280.70,280.70,140.35,140.35,,"1,824.56",280.70,,"24,168.45","8,421.06","14,456.15","22,175.46","8,140.36",,,"5,473.69",,,,"3,368.42",,,,,140.35,,"298,133.60",
,سانسو هيماتنيك 28 قرص,47093,,,,,2,,,6,1,6,2,2,1,,,3,5,4,,,3,,9,,1,1,16,,,12,7,3,,1,4,1,,1,1,1,,2,,4,,,,2,,2,,2,1,2,1,5,,2,1,,,5,,,1,,,,2,,1,2,,,1,,,,,1,,,1,,3,2,,,,,,,,-1,,13,6,5,18,-4,,,,,,-6,20,,,,,,,187,8
,,,,,,,308.78,,,926.34,154.39,926.34,308.78,308.78,154.39,,,463.17,771.95,617.56,,,463.17,,"1,389.51",,154.39,154.39,"2,470.24",,,"1,852.68","1,235.12",463.17,,154.39,617.56,154.39,,154.39,154.39,154.39,,308.78,,617.56,,,,308.78,,308.78,,308.78,154.39,308.78,154.39,926.34,,308.78,154.39,,,771.95,,,154.39,,,,308.78,,154.39,308.78,,,154.39,,,,,154.39,,,154.39,,463.17,308.78,,,,,,,,-154.39,,"2,161.46","1,080.73",771.95,"2,779.02",-617.56,,,,,,-926.34,"3,705.36",,,,,,,"30,106.05",
,سانسو ومن 28 قرص,50111,,,,,,,,,,11,3,5,3,,4,,,1,,,1,,1,,,5,,,,,1,1,7,1,2,1,,,,,,,,,2,,,1,,,2,,1,,,5,1,2,,,,13,,,,,2,,1,,,,,,,,,,,,,,,,,,,0,,1,,,2,,,13,5,3,12,3,,,,,,,,,,,,,,116,5
,,,,,,,,,,,,"1,852.62",505.26,842.10,505.26,,673.68,,,168.42,,,168.42,,168.42,,,842.10,,,,,168.42,168.42,"1,178.94",168.42,336.84,168.42,,,,,,,,,336.84,,,168.42,,,336.84,,168.42,,,"1,010.52",168.42,336.84,,,,"2,526.30",,,,,336.84,,168.42,,,,,,,,,,,,,,,,,,,0.00,,168.42,,,336.84,,,"2,526.30",842.10,505.26,"2,021.04",505.26,,,,,,,,,,,,,,"20,378.82",
,سانسوفيت بلس 100 مل شراب برتقال حديد,31542,,10,120,10,,,,19,28,75,40,80,29,16,33,54,10,43,26,19,11,26,30,13,7,49,34,9,18,15,144,31,23,28,27,411,10,44,8,2,30,28,30,5,4,3,2,10,6,5,33,11,3,10,6,7,3,2,17,8,7,23,13,20,6,21,9,50,4,9,105,23,6,16,33,5,4,16,8,,2,26,16,22,6,32,10,36,9,23,5,30,9,9,20,17,76,31,27,55,,,,,,,,,,,500,,,"3,114",496
,,,,800.00,"10,000.05",666.67,,,,"1,266.67","1,866.68","5,000.03","2,666.68","5,333.36","1,933.34","1,066.67","2,200.01","3,600.02",666.67,"3,000.02","1,733.34","1,266.67",733.34,"1,733.34","2,000.01",866.67,466.67,"3,266.68","2,266.68",600.00,"1,200.01","1,000.01","9,600.05","3,533.35","1,933.34","1,866.68","1,800.01","37,600.19",666.67,"2,933.35",533.34,133.33,"2,000.01","1,866.68","2,000.01",333.34,266.67,200.00,133.33,666.67,400.00,333.34,"2,333.35",733.34,200.00,666.67,400.00,466.67,200.00,133.33,"1,133.34",533.34,466.67,"1,533.34",866.67,"1,333.34",400.00,"1,400.01",600.00,"3,733.35",266.67,600.00,"10,733.39","1,533.34",400.00,"1,066.67","2,200.01",333.34,266.67,"1,066.67",533.34,,133.33,"1,733.34","1,066.67","1,466.67",400.00,"2,133.34",666.67,"2,400.01",600.00,"1,533.34",333.34,"2,000.01",600.00,600.00,"1,333.34","1,133.34","5,200.03","2,066.68","1,800.01","3,666.69",,,,,,,,,,,"47,666.91",,,"240,667.87",
,سانسوفيت بلس 160 مل شراب برتقال,31543,7,,20,,,,,19,6,15,21,19,15,4,26,25,12,8,10,5,15,6,12,3,10,16,14,4,13,13,14,9,17,13,30,57,10,17,4,2,7,8,14,4,3,1,1,3,4,14,41,1,,3,1,1,,,6,1,,7,,1,1,3,2,2,8,6,100,6,3,1,7,1,1,2,2,,1,7,1,8,1,9,6,6,5,2,,2,1,1,7,119,54,44,56,67,"3,000",,,,600,,,,,,,,,"4,754",124
,,,614.03,,"2,456.13",,,,,"1,666.66",526.31,"1,315.79","1,842.10","1,666.66","1,315.79",350.88,"2,280.69","2,192.98","1,052.63",701.75,877.19,438.60,"1,315.79",526.31,"1,052.63",263.16,877.19,"1,403.50","1,228.07",350.88,"1,140.35","1,140.35","1,228.07",789.47,"1,491.22","1,140.35","2,631.57","5,438.58",877.19,"1,491.22",350.88,175.44,614.03,701.75,"1,228.07",350.88,263.16,87.72,87.72,263.16,350.88,"1,228.07","4,035.07",87.72,,263.16,87.72,87.72,,,526.31,87.72,,614.03,,87.72,87.72,263.16,175.44,175.44,701.75,526.31,"14,912.23",526.31,263.16,87.72,614.03,87.72,87.72,175.44,175.44,,87.72,614.03,87.72,701.75,87.72,789.47,526.31,526.31,438.60,175.44,,175.44,87.72,87.72,614.03,"12,192.94","5,438.58","4,561.39","4,912.26","5,877.17","263,157.00",,,,"52,631.40",,,,,,,,,"427,893.28",
,سانسوفيت بلس 320 مل شراب برتقال,33661,,,,,,,,1,1,6,1,3,,4,1,11,2,,6,,7,,,,,6,,2,,3,,,,,100,1,5,2,,0,4,4,0,1,1,0,,14,,-1,,,,,,1,,,,,,4,,0,,,1,,,1,,,,,,1,2,2,,,,,,,1,,,2,,,,,,,,,1,48,23,3,,,,,,,,,,,,,,275,3
,,,,,,,,,,147.37,147.37,884.21,147.37,442.10,,589.47,147.37,"2,063.15",294.74,,884.21,,"1,031.58",,,,,884.21,,294.74,,442.10,,,,,"14,736.80",147.37,736.84,294.74,,0.00,589.47,589.47,0.00,147.37,147.37,0.00,,"2,063.15",,-147.37,,,,,,147.37,,,,,,589.47,,0.00,,,147.37,,,147.37,,,,,,147.37,294.74,294.74,,,,,,,147.37,,,294.74,,,,,,,,,147.37,"7,073.66","3,389.46",442.10,,,,,,,,,,,,,,"40,968.30",
,سانسوفيت كالسيوم 100 مل شراب برتقال,34148,,0,,,5,,,3,4,11,2,22,2,2,9,2,7,15,,2,4,5,5,,,8,,,3,7,27,13,5,15,13,19,8,8,0,,8,,2,3,,1,,1,3,1,1,4,,,,1,4,,8,,,6,7,7,,1,5,16,,2,4,2,2,7,4,,1,3,1,,1,,,4,1,10,3,,2,3,3,4,5,3,2,7,13,26,3,,,,,,,,,,,,,,,421,9
,,,,0.00,,,333.34,,,200.00,266.67,733.34,133.33,"1,466.67",133.33,133.33,600.00,133.33,466.67,"1,000.01",,133.33,266.67,333.34,333.34,,,533.34,,,200.00,466.67,"1,800.01","1,000.01",333.34,"1,000.01",866.67,"1,266.67",533.34,533.34,0.00,,533.34,,133.33,200.00,,66.67,,66.67,200.00,66.67,66.67,266.67,,,,66.67,266.67,,533.34,,,400.00,466.67,466.67,,66.67,333.34,"1,200.01",,133.33,266.67,133.33,133.33,466.67,266.67,,66.67,200.00,66.67,,66.67,,,266.67,66.67,666.67,200.00,,133.33,200.00,200.00,266.67,333.34,200.00,133.33,466.67,"1,000.01","1,933.34",200.00,,,,,,,,,,,,,,,"28,666.81",
,سانسوفيت كالسيوم 160 مل شراب برتقال,34149,,3,,,,,,6,3,3,2,3,6,3,6,12,6,5,,2,8,1,,,1,6,0,2,2,,1,-28,,8,,25,1,3,,,,,,1,,,,2,,1,,1,,1,,,2,,2,,,4,,3,1,1,,3,,1,,,1,,,,,,1,,,,,,,,2,1,11,,1,,2,,5,5,30,1,3,8,,,,,,,,,,,,,,184,25
,,,,263.16,,,,,,526.31,263.16,263.16,175.44,263.16,526.31,263.16,526.31,"1,228.07",526.31,438.60,,175.44,701.75,87.72,,,87.72,526.31,0.00,175.44,175.44,,87.72,"-2,017.54",,701.75,,"2,719.29",87.72,263.16,,,,,,87.72,,,,175.44,,87.72,,87.72,,87.72,,,175.44,,175.44,,,350.88,,263.16,87.72,87.72,,263.16,,87.72,,,87.72,,,,,,87.72,,,,,,,,175.44,87.72,"1,228.07",,87.72,,175.44,,438.60,438.60,"3,421.04",87.72,263.16,701.75,,,,,,,,,,,,,,"18,333.27",
,فاكتو 8 لبوسة,6425,,,10,,,,,189,8,31,12,29,26,12,29,-22,-2,-1,-8,4,-20,79,10,14,3,48,91,-10,32,,,83,-10,,,,,,24,33,33,34,24,15,3,1,,,,,,28,0,,4,-11,2,,-25,4,,55,70,24,17,107,15,44,9,38,8,37,-9,0,18,30,6,13,43,1,16,4,5,,,,,,,,,,,,,55,124,48,17,5,,,,,,,,,,,,,,"1,606",0
,,,,,510.00,,,,,"9,639.00",408.00,"1,581.00",612.00,"1,479.00","1,326.00",612.00,"1,479.00","-1,122.00",-102.00,-51.00,-408.00,204.00,"-1,020.00","4,029.00",510.00,714.00,153.00,"2,448.00","4,641.00",-510.00,"1,632.00",,,"4,233.00",-510.00,,,,,,"1,224.00","1,683.00","1,683.00","1,734.00","1,224.00",765.00,153.00,51.00,,,,,,"1,428.00",0.00,,204.00,-561.00,102.00,,"-1,275.00",204.00,,"2,805.00","3,570.00","1,224.00",867.00,"5,457.00",765.00,"2,244.00",459.00,"1,938.00",408.00,"1,887.00",-459.00,0.00,918.00,"1,530.00",306.00,663.00,"2,193.00",51.00,816.00,204.00,255.00,,,,,,,,,,,,,"2,805.00","6,324.00","2,448.00",867.00,255.00,,,,,,,,,,,,,,"81,906.00",
,فرى نوز شفاط للانف,13722,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,10,0
,,,,,,,,,,192.98,,,,,,,,,,,,,,578.94,,,,,,,,192.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.98,,,,,,,,,,,385.96,,,,,,,,,,385.96,,,,,,,,,,,,,,,"1,929.80",
,فوليتراكتين 500 مجم 7 قرص,36009,,,,,,,,9,10,18,,,,,2,1,,,2,3,,5,,,2,9,1,74,,10,,,3,,,,-5,,,1,3,3,,4,,,,,,,,,,,,,,,,,,1,,2,1,4,3,3,2,11,,1,14,16,6,,1,14,2,,,2,1,2,,,51,1,,,,,1,,,30,9,16,24,,,,,,,,,,,,,,,373,59
